AppName,ExecutablePath,ShortcutPath,AppUserModelID
VS Extensions Wizard,C:\Program Files\NTCore\Explorer Suite\SDK\ExSuiteExtWiz.msi,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\SDK\VS Extensions Wizard.lnk,
PE Detective,C:\Program Files\NTCore\Explorer Suite\PE Detective.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\Tools\PE Detective.lnk,
File Viewer 9.5,C:\Users\srika\Documents\File Viewer9.5\FileViewer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\File Viewer 9.5\File Viewer 9.5.lnk,
File Viewer Express 2.2,C:\Users\srika\Documents\File Viewer9.5\FileViewer10.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\File Viewer 9.5\File Viewer Express 2.2.lnk,
Uninstall File Viewer,C:\Users\srika\Documents\File Viewer9.5\uninstall.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\File Viewer 9.5\Uninstall File Viewer.lnk,
GOG GALAXY,C:\Program Files (x86)\GOG Galaxy\GalaxyClient.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\GOG.com\GOG GALAXY\GOG GALAXY.lnk,
HashCalc HTML Help,C:\Program Files (x86)\HashCalc\HashCalc.chm,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\HashCalc\HashCalc HTML Help.lnk,
HashCalc,C:\Program Files (x86)\HashCalc\HashCalc.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\HashCalc\HashCalc.lnk,
ReadMe,C:\Program Files (x86)\HashCalc\ReadMe.txt,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\HashCalc\ReadMe.lnk,
Uninstall HashCalc,C:\Program Files (x86)\HashCalc\unins000.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\HashCalc\Uninstall HashCalc.lnk,
About Java,C:\Program Files\Java\jre1.8.0_441\bin\javacpl.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Java\About Java.lnk,
Check For Updates,C:\Program Files\Java\jre1.8.0_441\bin\javacpl.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Java\Check For Updates.lnk,
Configure Java,C:\Program Files\Java\jre1.8.0_441\bin\javacpl.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Java\Configure Java.lnk,
MD5 Calculator,C:\Program Files (x86)\MD5 Calculator\MD5Calculator.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MD5 Calculator\MD5 Calculator.lnk,
Uninstall MD5 Calculator,C:\Program Files (x86)\MD5 Calculator\unins000.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MD5 Calculator\Uninstall MD5 Calculator.lnk,
Office Language Preferences,C:\Program Files\Microsoft Office\root\Office16\SETLANG.EXE,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Office Language Preferences.lnk,
Install Additional Tools for Node.js,C:\Windows\System32\cmd.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Node.js\Install Additional Tools for Node.js.lnk,
Node.js command prompt,C:\Windows\System32\cmd.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Node.js\Node.js command prompt.lnk,
Node.js,C:\Program Files\nodejs\node.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Node.js\Node.js.lnk,
Uninstall Node.js,C:\Windows\SysWOW64\msiexec.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Node.js\Uninstall Node.js.lnk,
GeForce Experience,C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA GeForce Experience.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\NVIDIA Corporation\GeForce Experience.lnk,
Backup Database,C:\oraclexe\app\oracle\product\11.2.0\server\bin\Backup.bat,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Backup Database.lnk,
Get Started,C:\oraclexe\app\oracle\product\11.2.0\server\Get_Started.url,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Get Started.lnk,
Restore Database,C:\oraclexe\app\oracle\product\11.2.0\server\bin\Restore.bat,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Restore Database.lnk,
Run SQL Command Line,C:\oraclexe\app\oracle\product\11.2.0\server\bin\sqlplus.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Run SQL Command Line.lnk,
Start Database,C:\Windows\SysWOW64\cmd.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Start Database.lnk,
Stop Database,C:\Windows\SysWOW64\cmd.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Stop Database.lnk,
Go To Online Forum,C:\oraclexe\app\oracle\product\11.2.0\server\Online_forum.url,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Get Help\Go To Online Forum.lnk,
Read Documentation,C:\oraclexe\app\oracle\product\11.2.0\server\Read_Documentation.url,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Get Help\Read Documentation.lnk,
Register For Online Forum,C:\oraclexe\app\oracle\product\11.2.0\server\Register.url,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Oracle Database 11g Express Edition\Get Help\Register For Online Forum.lnk,
PostGIS 0 PDF Documentation,C:\Program Files\PostgreSQL\17\doc\contrib\postgis-0.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PostGIS Bundle 0 for PostgreSQL x64 17\PostGIS 0 PDF Documentation.lnk,
PostGIS PostGIS Bundle 0 for PostgreSQL x64 17 Shapefile and DBF Loader Exporter,C:\Program Files\PostgreSQL\17\bin\postgisgui\shp2pgsql-gui.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PostGIS Bundle 0 for PostgreSQL x64 17\PostGIS PostGIS Bundle 0 for PostgreSQL x64 17 Shapefile and DBF Loader Exporter.lnk,
PEMHTTPD,C:\Windows\System32\wscript.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Postgres Enterprise Manager\PEMHTTPD.lnk,
Application Stack Builder,C:\Program Files\PostgreSQL\17\bin\stackbuilder.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PostgreSQL 17\Application Stack Builder.lnk,
pgAdmin 4,C:\Program Files\PostgreSQL\17\pgAdmin 4\runtime\pgAdmin4.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PostgreSQL 17\pgAdmin 4.lnk,
Reload Configuration,C:\Program Files\PostgreSQL\17\bin\pg_ctl.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PostgreSQL 17\Reload Configuration.lnk,
SQL Shell (psql),C:\Program Files\PostgreSQL\17\scripts\runpsql.bat,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PostgreSQL 17\SQL Shell (psql).lnk,
qBittorrent,C:\Program Files\qBittorrent\qbittorrent.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\qBittorrent\qBittorrent.lnk,
Uninstall qBittorrent,C:\Program Files\qBittorrent\uninst.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\qBittorrent\Uninstall qBittorrent.lnk,
Riot Client,C:\Riot Games\Riot Client\RiotClientServices.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Riot Games\Riot Client.lnk,
VALORANT,C:\Riot Games\Riot Client\RiotClientServices.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Riot Games\VALORANT.lnk,
SEB Configuration Tool,C:\Program Files\SafeExamBrowser\Configuration\SEBConfigTool.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\SafeExamBrowser\SEB Configuration Tool.lnk,
SEB Reset Utility,C:\Program Files\SafeExamBrowser\Reset\SafeExamBrowser.ResetUtility.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\SafeExamBrowser\SEB Reset Utility.lnk,
Steam,C:\Program Files (x86)\Steam\Steam.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Steam\Steam.lnk,
Task Manager,C:\WINDOWS\system32\taskmgr.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Task Manager.lnk,
EULA,C:\Program Files (x86)\Technitium\TMACv6.0\EULA.txt,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Technitium MAC Address Changer v6\EULA.lnk,
Help,C:\Program Files (x86)\Technitium\TMACv6.0\help.html,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Technitium MAC Address Changer v6\Help.lnk,
Read Me,C:\Program Files (x86)\Technitium\TMACv6.0\Read Me.txt,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Technitium MAC Address Changer v6\Read Me.lnk,
TMAC v6,C:\Program Files (x86)\Technitium\TMACv6.0\TMAC.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Technitium MAC Address Changer v6\TMAC v6.lnk,
Uninstall TMAC v6,C:\Program Files (x86)\Technitium\TMACv6.0\Installer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Technitium MAC Address Changer v6\Uninstall TMAC v6.lnk,
Play The Last of Us,D:\Games\The Last of Us\launcher.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\The Last of Us\Play The Last of Us.lnk,
Uninstall,D:\Games\The Last of Us\Uninstall\unins000.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\The Last of Us\Uninstall.lnk,
TLauncher,C:\Users\srika\AppData\Roaming\.minecraft\TLauncher.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\TLauncher\TLauncher.lnk,
Documentation,C:\Program Files (x86)\VideoLAN\VLC\Documentation.url,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VideoLAN\Documentation.lnk,
Release Notes,C:\Program Files (x86)\VideoLAN\VLC\NEWS.txt,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VideoLAN\Release Notes.lnk,
VideoLAN Website,C:\Program Files (x86)\VideoLAN\VLC\VideoLAN Website.url,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VideoLAN\VideoLAN Website.lnk,
VLC media player - reset preferences and cache files,C:\Program Files (x86)\VideoLAN\VLC\vlc.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VideoLAN\VLC media player - reset preferences and cache files.lnk,
VLC media player skinned,C:\Program Files (x86)\VideoLAN\VLC\vlc.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VideoLAN\VLC media player skinned.lnk,
VLC media player,C:\Program Files (x86)\VideoLAN\VLC\vlc.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VideoLAN\VLC media player.lnk,
Command Prompt for vctl,C:\Windows\System32\cmd.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\Command Prompt for vctl.lnk,
Virtual Network Editor,C:\Program Files (x86)\VMware\VMware Workstation\vmnetcfg.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\Virtual Network Editor.lnk,
VMware Workstation 17 Player,C:\Program Files (x86)\VMware\VMware Workstation\vmplayer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\VMware Workstation 17 Player.lnk,
VMware Workstation Pro,C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\VMware\VMware Workstation Pro.lnk,
